id,name,original_name,director,mother_company,length_minutes,year,country,picture_format,age_limit,number_of_disks,weight,rating,num_of_rates,price,picture
41130,'just name','just orig name','just dir name','just mc name','109','2009','США','PAL | 1080p High Definition 16:9 (1.85:1)','18+',1,65.0,'4.6',67,999.0,'./img/41130jpg'
114515,'just name','just orig name','just dir name','just mc name','112','2017','США| Великобритания','PAL | 1080p Full High Definition 16:9 (2.35:1)','18+',1,70.0,'4.6',30,990.0,'./img/114515jpg'
14589,'just name','just orig name','just dir name','just mc name','112','2008','США| Канада','PAL | 1080p WideScreen 16:9 (2.35:1)','16+',1,105.0,'4.4',61,1036.0,'./img/14589jpg'
103554,'just name','just orig name','just dir name','just mc name','100','2017','США','PAL | 1080p Full High Definition 16:9 (1.78:1)','18+',1,70.0,'4.4',45,349.0,'./img/103554jpg'
46380,'just name','just orig name','just dir name','just mc name','94','2012','США','PAL | WideScreen 16:9 (1.78:1)','16+',1,85.0,'4.6',57,399.0,'./img/46380jpg'
130595,'just name','just orig name','just dir name','just mc name','106','2016','Испания','PAL | 1080p Full High Definition 16:9 (2.35:1)','16+',1,80.0,'4.5',71,549.0,'./img/130595jpg'
23875,'just name','just orig name','just dir name','just mc name','83','2008','США','PAL | Anamorphic WideScreen 16:9 (1.78:1)','16+',1,70.0,'4.5',47,399.0,'./img/23875jpg'
87458,'just name','just orig name','just dir name','just mc name','117','2016','США| Дания','PAL | 1080p Full High Definition 16:9 (2.35:1)','18+',1,60.0,'4.6',41,449.0,'./img/87458jpg'
30565,'just name','just orig name','just dir name','just mc name','107','1999','США','PAL | 1080p Full High Definition 16:9 (2.35:1)','16+',1,75.0,'4.4',46,549.0,'./img/30565jpg'
46832,'just name','just orig name','just dir name','just mc name','132','2013','Россия','PAL | 1080p WideScreen 16:9 (2.35:1)','16+',1,65.0,'4.4',63,279.0,'./img/46832jpg'
42277,'just name','just orig name','just dir name','just mc name','149','2012','США','PAL | 1080p High Definition 16:9 (1.85:1)','16+',2,105.0,'4.5',39,1999.0,'./img/42277jpg'
94416,'just name','just orig name','just dir name','just mc name','111','2016','США| Великобритания','PAL | 1080p High Definition 16:9 2.00:1','16+',1,75.0,'4.5',34,534.0,'./img/94416jpg'
